t,S,energy,utility,avg_A,avg_centrality,composite_score,eta,lambda,gate_topk,malicious_count
114,0.9981958438409428,1047.3338137924259,-3.714806318224973,0.0016364590840506653,0.18205308312288906,0.38641061662457776,0.011167130641455001,0.007082668110001406,8.788895311029481,40
115,0.9982108008062234,1039.6042334256047,-3.6800082496089974,0.0016243816147275072,0.18229108691810242,0.38645821738362046,0.011167130641455001,0.007082668110001406,8.788895311029481,40
116,0.9981779076311295,1031.9389415241158,-3.6455473292273908,0.001612404596131431,0.1823156519442071,0.3864631303888414,0.011167130641455001,0.007082668110001406,8.788895311029481,40
117,0.9982997856391749,1042.7387450133783,-3.6940245669210277,0.0016292792890834037,0.182298317860318,0.38645966357206357,0.011167130641455001,0.007082668110001406,8.788895311029481,40
118,0.9982794884605114,1038.238036969437,-3.6737916779019546,0.0016222469327647451,0.18222252021355764,0.3864445040427115,0.011167130641455001,0.007082668110001406,8.788895311029481,40
119,0.9982320371247944,1027.056599061235,-3.623522658650762,0.0016047759360331795,0.18224541536838657,0.3864490830736773,0.011167130641455001,0.007082668110001406,8.788895311029481,40
120,0.9983029608306635,1023.987404536692,-3.60964035958445,0.0015999803195885813,0.1823545528498284,0.38647091056996563,0.011167130641455001,0.007082668110001406,8.788895311029481,40
121,0.9982770659518816,1011.933438357608,-3.555423406657354,0.0015811459974337625,0.18227562876086104,0.38645512575217217,0.011167130641455001,0.007082668110001406,8.788895311029481,40
122,0.9981959304499027,1012.3869916311459,-3.557545531890253,0.0015818546744236655,0.1823888984389892,0.38647777968779784,0.011167130641455001,0.007082668110001406,8.788895311029481,40
123,0.9981014012142473,1013.7380655947936,-3.563719893962324,0.001583965727491865,0.18247837170604664,0.3864956743412093,0.011167130641455001,0.007082668110001406,8.788895311029481,40
124,0.9981067315639887,1010.4877416937543,-3.549088106057905,0.001578887096396491,0.18264991807266745,0.38652998361453345,0.011167130641455001,0.007082668110001406,8.788895311029481,40
125,0.9980933329796962,655.9783665313903,-1.9538093164115597,0.0010249661977052974,0.1774636643650102,0.385492732873002,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
126,0.9981789066219425,644.9429856459421,-1.9040645287847968,0.0010077234150717845,0.17735069331159395,0.3854701386623188,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
127,0.9982161273835448,643.6496033881301,-1.8982070878630406,0.0010057025052939534,0.17740400369535372,0.3854808007390707,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
128,0.9980431383709879,636.7800843291616,-1.8674672411102389,0.000994968881764315,0.17727489199963564,0.3854549783999271,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
129,0.9980288061877842,635.2294490814827,-1.8605037146788876,0.0009925460141898168,0.1772716382299034,0.38545432764598064,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
130,0.9979590393374904,626.8921467812914,-1.8230556211783209,0.0009795189793457679,0.17737869272557044,0.3854757385451141,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
131,0.9981567276265138,621.4100097794595,-1.7981883163810537,0.0009709531402804055,0.17748563329328781,0.38549712665865754,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
132,0.9980207650908479,616.5332055670503,-1.7763786599608786,0.0009633331336985162,0.17747801181852713,0.3854956023637054,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
133,0.9981207769102913,613.1390255762195,-1.7610048381826964,0.000958029727462843,0.17749444213290455,0.38549888842658087,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
134,0.9981680072860192,608.6043021487047,-1.740551352383152,0.0009509442221073512,0.1774957351919411,0.38549914703838817,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
135,0.9981478943253406,603.3527242410539,-1.716939364759402,0.0009427386316266467,0.17759850474408062,0.3855197009488161,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
136,0.9983800626559884,604.0024382274609,-1.7196309093675852,0.0009437538097304076,0.1775378021637003,0.38550756043274004,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
137,0.9983408933803692,595.9935463898557,-1.6836300653739815,0.0009312399162341496,0.17763543537731483,0.38552708707546296,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
138,0.998254682269883,590.1942691379115,-1.6576195288507187,0.0009221785455279868,0.17765703872379707,0.3855314077447594,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
139,0.998107748393768,588.7264587710905,-1.6511613160761391,0.000919885091829829,0.17750692698808174,0.3855013853976163,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
140,0.9982531869163376,585.3938300071013,-1.6360190481156183,0.0009146778593860958,0.17751671171171174,0.38550334234234235,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
141,0.9982651984200225,574.8159120624168,-1.588406405860853,0.0008981498625975263,0.177485349466714,0.38549706989334276,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
142,0.9982349027922642,570.1341888022474,-1.567368946817849,0.0008908346700035116,0.17742134980455418,0.3854842699609108,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
143,0.9981673466151353,570.7821983492565,-1.5703525459565189,0.0008918471849207134,0.17753003552886973,0.38550600710577393,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
144,0.9981101952012591,563.927406525444,-1.5395631341632385,0.0008811365726960062,0.1776531240522663,0.38553062481045325,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
145,0.998132148414293,561.2218547710997,-1.5273661980556557,0.0008769091480798434,0.17767098203231604,0.3855341964064632,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
146,0.9981387207502314,551.9094863467166,-1.4854539678099927,0.0008623585724167447,0.17775341699264377,0.3855506833985287,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
147,0.9981745207490579,555.6270299272999,-1.5021471139237916,0.000868167234261406,0.17768753834367168,0.3855375076687343,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
148,0.9982279128658091,545.005022887035,-1.4542946901258484,0.0008515703482609922,0.17780378302055078,0.38556075660411016,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
149,0.9982585281411034,545.7331796726403,-1.4575407803857778,0.0008527080932385005,0.17788159807588103,0.3855763196151762,0.0055835653207275005,0.010213543860592025,6.316428839285457,40
150,0.9983489908947215,348.4089429988152,-0.5694912525999466,0.0005443889734356487,0.1739383740615555,0.3847876748123111,0.0027917826603637503,0.015207500468456463,3.6582144196427286,40
151,0.9983014653474042,346.481296220259,-0.5608643676437614,0.0005413770253441547,0.1735514489734553,0.384710289794691,0.0027917826603637503,0.015207500468456463,3.6582144196427286,40
152,0.9982267811736923,340.8749025718931,-0.5357102803998263,0.000532617035268583,0.1736087165740846,0.3847217433148169,0.0027917826603637503,0.015207500468456463,3.6582144196427286,40
153,0.9982955959456064,336.29803639616534,-0.5150455678371375,0.0005254656818690083,0.173660517083985,0.384732103416797,0.0027917826603637503,0.015207500468456463,3.6582144196427286,40
154,0.9983224232050839,330.335488227015,-0.4881872738164835,0.0005161492003547109,0.17372967398431832,0.38474593479686364,0.0027917826603637503,0.015207500468456463,3.6582144196427286,40
155,0.9982765504558401,327.57555503451687,-0.4758134471994858,0.0005118368047414326,0.17363945342996878,0.3847278906859937,0.0027917826603637503,0.015207500468456463,3.6582144196427286,40
156,0.9981982685841448,325.49208809149417,-0.4665161278275789,0.0005085813876429596,0.1736558928703081,0.3847311785740616,0.0027917826603637503,0.015207500468456463,3.6582144196427286,40
157,0.9983670755566948,317.58946168505764,-0.4307855020260646,0.0004962335338829025,0.17373520225920727,0.38474704045184144,0.0027917826603637503,0.015207500468456463,3.6582144196427286,40
158,0.9983538668261908,318.14340055952687,-0.43329143569168005,0.0004970990633742607,0.17380157131346838,0.38476031426269364,0.0027917826603637503,0.015207500468456463,3.6582144196427286,40
159,0.99819904485125,311.720087737861,-0.4045413499691243,0.0004870626370904078,0.17375677098202252,0.3847513541964045,0.0027917826603637503,0.015207500468456463,3.6582144196427286,40
160,0.9982322276015522,309.35046619067657,-0.3938448702564924,0.0004833601034229321,0.1737230572968498,0.38474461145936995,0.0027917826603637503,0.015207500468456463,3.6582144196427286,40
161,0.9981357163857218,304.5567100106843,-0.3723694786623575,0.0004758698593916942,0.173696954181863,0.3847393908363726,0.0027917826603637503,0.015207500468456463,3.6582144196427286,40
